;x;y;z
H65_F_gb;0,08885967;-0,031321961;-0,12828734
H65_F_vbuv;0,080197937;-0,028424934;-0,089880348
H65_F_dm;0,172456933;-0,058503136;-0,146319341
H65_F_dldm;0,177975966;-0,055534523;-0,18095493
H65_F_lm;0,198471234;-0,08379578;-0,109581751
H94_F_gbuv;0,078059335;-0,029117504;-0,081043332
H94_F_vbuv;0,082132826;-0,02998755;-0,093805759
H94_F_dm;0,193944897;-0,066254766;-0,177359197
H94_F_dldm;0,233373201;-0,068871281;-0,212305878
H94_F_lm;0,193978037;-0,078876361;-0,120296733
H94_F_oceld;0,074631729;-0,027279531;-0,020686036
H94_F_ocele;0,062283483;-0,028148657;0,035237251
H40_M_gb;0,135134267;-0,034185537;-0,210476401
H40_M_vb;0,131055312;-0,028471307;-0,207735864
H40_M_oe;0,028540996;-0,0122015;0,071730881
H40_M_ocele;-0,004867496;-0,010831576;0,118658918
H40_M_dm;0,221176264;-0,082296234;-0,165613079
H40_M_dldm;0,213417216;-0,073994621;-0,179130265
H40_M_oceld;-0,000579838;-0,010989873;0,124202197
H40_M_od;0,016708111;-0,013988847;0,119859092
H39_F_gbuv;0,072904673;-0,025366466;-0,088230847
H39_F_vbuv;0,085127791;-0,031491358;-0,074642282
H39_F_dm;0,205850143;-0,067068336;-0,181651522
H39_F_dldm;0,192752447;-0,056320002;-0,207995975
H39_F_oeld;0,061869337;-0,026552686;-0,048793648
H39_F_lm;0,177769325;-0,06440919;-0,134587963
H39_F_ocele;0,05918069;-0,027974506;-0,024240443
